,query_id,query,Rank,Score,Doc_id,Document
0,992839,definition of curfew,24,8.082300186157227,3807532,"What curfew rules should you set for your teenager? A curfew sets the expectation of when your teen will be home, for their safety and out of respect for the rest of the family. You will also need to set and enforce the consequences for breaking the curfew agreement. Each family will have their own needs for setting limits."
1,992839,definition of curfew,17,8.265999794006348,8191267,"An additional 6 percent, or 23 cities, were considering adopting curfew legislation, according to the survey. 50 Cities that have enacted new curfew ordinances or have amended existing curfew legislation since 1994 include Arlington, VA; Austin, TX; Baltimore, MD; Buffalo, NY; Phoenix, AZ; Oklahoma City, OK; and San Jose, CA. 51. Curfew laws vary with respect to the locale affected, timeframe, and sanctions. Most restrict minors to their homes or property between the hours of 11 p.m. and 6 a.m., with some jurisdictions allowing exceptions for weekend nights or summer months. Many curfew ordinances provide exemptions for youth who are going to or from a school-, religious-, or civic-sponsored event."
2,992839,definition of curfew,12,8.602499961853027,5207344,The definition of universal is relating to or affecting all. An example of universal used as an adjective is a universal curfew for a town which means that all members of that town must be home by a certain time. YourDictionary definition and usage example.
3,992839,definition of curfew,26,8.044698715209961,3807525,Curfew rules can be adjusted as your teen grows in age and responsibility. The curfew for a 14-year old will likely be different from that of a 17-year old teen. The American Academy of Pediatrics recommends a curfew for teens aged 14 to 16 of 8 or 9 p.m. on school nights and 10 or 11 p.m. on weekends.
4,992839,definition of curfew,19,8.183300018310547,2620523,Discuss is defined as to talk about and to consider all aspects of the subject. An example of discuss is for a teenager to give reasons for a later curfew with his parents. YourDictionary definition and usage example.
5,1013965,"what type of wave is electromagnetic,",15,12.856800079345703,2646538,"FIND OUT MORE. Many different kinds of energy travel in waves. Sound waves carry noises through the air to our ears. SEISMIC WAVES travel inside the Earth and cause earthquakes. Light, heat, radio, and similar types of energy are carried by a variety of waves in the ELECTROMAGNETIC SPECTRUM.Some energy waves need a medium, such as water or air, through which to travel.hese are waves that carry energy as electricity and magnetism at the speed of light. Light we can see is also an electromagnetic wave, but other types of electromagnetic wave are invisible. The various types of electromagnetic wave have different frequencies and wavelengths."
6,1013965,"what type of wave is electromagnetic,",19,12.720399856567383,6615903,"The electromagnetic spectrum contains many types of waves, one of which is infrared waves. Other electromagnetic waves include gamma rays, x-rays, ultraviolet, visible light, microwaves, and radio. Infrared waves are electromagnetic radiation of a particular wavelength or color that we have named 'infrared.' They are between 700 nm (nanometers) and 1 mm. Note that 1 mm is equal to 1,000,000 nanometers. They are just beyond what our eyes can detect on the red side of the rainbow."
7,1013965,"what type of wave is electromagnetic,",24,12.665900230407715,752147,"Sound waves and electromagnetic waves are different. Sound is composed of density waves in the air or some other form of matter. The different types of electromagnetic wave â¦ s are gamma rays, X-rays, ultraviolet rays, visible light, infrared radiation, microwaves, and radio waves.ound waves and electromagnetic waves are different. Sound is composed of density waves in the air or some other form of matter. The different types of electromagnetic wave â¦ s are gamma rays, X-rays, ultraviolet rays, visible light, infrared radiation, microwaves, and radio waves."
8,1013965,"what type of wave is electromagnetic,",17,12.729499816894531,1742690,"In transverse waves, the oscillations (vibrations) are at right angles to the direction of travel and energy transfer. Light and other types of electromagnetic radiation are transverse waves.All types of electromagnetic waves travel at the same speed through a vacuum, such as through space.Water waves and S waves (a type of seismic wave) are also transverse waves. Your web browser does not have JavaScript switched on at the moment.n transverse waves, the oscillations (vibrations) are at right angles to the direction of travel and energy transfer. Light and other types of electromagnetic radiation are transverse waves."
9,1013965,"what type of wave is electromagnetic,",18,12.723699569702148,1839,"Difference Between Electromagnetic Waves and Radio Waves. Electromagnetic waves are a type of wave that is present in nature. The applications of electromagnetic waves are endless. The theory of electromagnetism is a vast field in classical mechanics and in modern physics, as well."
10,1090730,shopko kennewick address,30,8.492500305175781,1201367,"About FastCare inside Shopko. FastCare inside Shopko is a retail clinic operating inside of in Wausau, WI located at 200 S 18th Ave., . They are open 7 days a week seeing walk-in patients in Wausau."
11,1090730,shopko kennewick address,29,8.562700271606445,2507946,"Kennewick Man. Kennewick Man. The remains of an ancient human found along a river in Kennewick, Washington, in 1996 set off a heated debate about the ownership and future of the skeleton."
12,1090730,shopko kennewick address,18,9.102700233459473,77504,"Shopko (formerly ShopKo until June 2007) is a chain of retail stores based in Ashwaubenon, Wisconsin. Shopko was founded in 1962 by James Ruben, and its first store opened in Green Bay. From 1991 to 2005, the company was publicly held, with stock traded on the New York Stock Exchange under the symbol SKO."
13,1090730,shopko kennewick address,17,9.29740047454834,7489662,"With these competitive advantages, Shopko grew rapidly in the following decades, including the launch of Shopko Hometown in 2010 to specifically serve smaller communities. Today, there are 180 Hometown stores, making Shopko one of America's major retailers to serve smaller communities."
14,1090730,shopko kennewick address,13,9.633700370788574,7489659,"Shopko Hometown. Shopko Hometown is one of Shopko's three main divisions, whose main aim is to serve smaller communities. Its stores are three times smaller than the regular Shopko store and carry 70% of its usual inventory, yet still includes the retail health services such as an in-store pharmacy and optical center."
15,872869,what law repealed prohibition,14,12.513199806213379,7246010,"A deadly riot in Portland in 1855 lead to the law's repeal. Now, Prohibition was being implemented on a national scale, and being enshrined in the Constitution no less. What followed was a litany of unintended consequences. This should have come as no surprise with a venture as experimental as Prohibition. It is no mistake that President Herbert Hoover's 1928 description of Prohibition as a great social and economic experiment, noble in motive and far-reaching in purpose entered the popular lexicon as the noble experiment."
16,872869,what law repealed prohibition,12,12.707599639892578,4742736,"At the time that anti-miscegenation laws were ruled unconstitutional by the U.S. Supreme Court, 16 states still had laws prohibiting interethnic marriage. Those laws were not completely repealed until November 2000, when Alabama became the last state to repeal its law."
17,872869,what law repealed prohibition,25,12.03439998626709,283768,"A poster for the Prohibition Party, 1888.Prohibition, as the extreme wing of the temperance movement, is one of the hallowed reforms from the 1840s. As the wave of state prohibition laws passed in the 1850s began to be repealed, prohibition agitators began to organize formally; the Prohibition Party founded in 1869 and the Woman's Christian Temperance Union of 1874 represented the two strategic approaches."
18,872869,what law repealed prohibition,11,12.856399536132812,234447,"repeal. 1) v. to annul an existing law, by passage of a repealing statute, or by public vote on a referendum. Repeal of U. S. Constitutional provisions require an amendment, as with the repeal of prohibition in which the 21st Amendment repealed the 18th Amendment. 2) n. the act of annulling a statute."
19,872869,what law repealed prohibition,29,11.929900169372559,6283177,"When the Mayor of Berlin, Gustav Boess, visited New York City in the fall of 1929, one of the questions he had for his host, Mayor James J. Walker, was when Prohibition was to go into effect. The problem was that Prohibition has already been the law of the United States for nearly a decade.hen Maine passed a strict prohibition law in 1851, the result was not temperance, but resentment among the city's working class and Irish immigrant population. A deadly riot in Portland in 1855 lead to the law's repeal."
20,1046463,what is sealaska corporation,22,6.1620001792907715,5242850,"However, there are two types of for-profit corporations for federal tax law purposes: 1  C corporations: What we normally consider regular corporations that are subject to the corporate income tax. 2  S corporations: Corporations that have filed a special election with the IRS. 3  They are not subject to corporate income tax."
21,1046463,what is sealaska corporation,20,6.167799949645996,2367410,"First, some background. The U.S. federal corporate tax rate is 35 percent, and that statutory rate is what corporate tax critics cite most often. Additional state corporate taxes bump the overall number up closer to 40 percent. The statutory rate, however, doesn't reflect the write-offs in the tax code (so-called tax expenditures) that reduce the effective rate on corporate profits â that is, what corporations actually pay in taxes as a share of their profits."
22,1046463,what is sealaska corporation,21,6.165999889373779,1597247,Limited liability protects your personal assets from your business liability. A limited liability company is easier to set up than a corporation but offers the owners legal protection similar to what corporate stockholders have. Such a company can be a limited liability corporation or limited liability partnership.imited liability protects your personal assets from your business liability. A limited liability company is easier to set up than a corporation but offers the owners legal protection similar to what corporate stockholders have. Such a company can be a limited liability corporation or limited liability partnership.
23,1046463,what is sealaska corporation,12,6.449900150299072,774150,"1 [Business Name Stand] | What Does LTD After a Business Name Stand For? 2 [LTD Mean] | What Does LTD Mean After a Business Name? 3 [Incorporation Corporation] | The Differences Between Incorporation, Corporation & Non-Profit 4 [Enterprise Corporation] | What Are the Meanings of Enterprise, Corporation & Incorporated?"
24,1046463,what is sealaska corporation,16,6.224800109863281,581342,"What you're seeking is often called a brand platform or what has been traditionally called a corporate image.. In essence, the platform or image is really about the corporate (or brand) name. It's important for a company to have a strong brand name that stands for something.hat you're seeking is often called a brand platform or what has been traditionally called a corporate image.. In essence, the platform or image is really about the corporate (or brand) name. It's important for a company to have a strong brand name that stands for something."
25,1024312,who are the months named after,29,7.210999965667725,4390985,"March This is the first month of the Roman year. It is named after the Roman god of war, Mars. April Called Aprilis, from aperire, to open. Possible because it is the month in which the buds begin to open. May The third month of the Roman calendar.The name probably comes from Maiesta, the Roman goddess of honor and reverence.t is named after the Roman god of war, Mars. April Called Aprilis, from aperire, to open. Possible because it is the month in which the buds begin to open. May The third month of the Roman calendar."
26,1024312,who are the months named after,27,7.252099990844727,8225203,"Fort Walton Beach, Okaloosa County -- The town is named after Camp Walton, a Confederate military site built in 1861 to guard East Pass during the Civil War.. Frostproof, Polk County -- It was named by cowboys who brought cattle to the region during the winter months to get away from frost."
27,1024312,who are the months named after,11,7.605000019073486,5025549,"Some of them we have already told you in our previous TALKS, and we will here fill in other interesting details about Abraham's early life, until he reached the age of seventy five. Abraham (who was first called AbÂ­ram) was born in the year 1948 after Creation (1813 BCE). (According to one tradition he was born in the month of Nissan; according to another, in the month of Tishrei.) His father's name, as you all know, was Terah, who was seventy years old when Abraham was born. Abraham's mother's name was Amathlaah."
28,1024312,who are the months named after,14,7.491399765014648,5047681,Drew Denson â¢ 5 months ago. I think the best name for the generation after the millennials would be Generation Anthropocene. People born in 2000 and after are going to be the people who must brave through the 21st century bottleneck.
29,1024312,who are the months named after,13,7.525300025939941,6093601,"She is having a business school named after her. This month, the University of South Carolina business school will become the Darla Moore School of Business after the woman who made a fortune specializing in bankruptcy financing, including that of Macy's."
30,1029492,what is transient global am,12,9.843500137329102,1620854,"Learn about transient global amnesia (TGA), a frightening, but temporary, occurrence during which someone can't form new memories. Menu Transient Global Amnesia"
31,1029492,what is transient global am,28,8.979000091552734,1748904,"A , Administration, answered. Transient global amnesia is a temporary event in which your ability to recall where you are or what happened in the recent past completely disappears. You are still able to remember who you and who those around you are."
32,1029492,what is transient global am,25,9.230500221252441,442368,"INTRODUCTION. Transient global amnesia (TGA) is a clinical syndrome of reversible anterograde amnesia accompanied by repetitive questioning that occurs in middle-aged and elderly individuals [ 1,2 ].The etiology of TGA remains obscure.NTRODUCTION. Transient global amnesia (TGA) is a clinical syndrome of reversible anterograde amnesia accompanied by repetitive questioning that occurs in middle-aged and elderly individuals [ 1,2 ]."
33,1029492,what is transient global am,14,9.682700157165527,1272178,Transient global amnesia. Transient global amnesia (TGA) is a neurological disorder whose key defining characteristic is a temporary but almost total disruption of short-term memory with a range of problems accessing older memories.
34,1029492,what is transient global am,20,9.34689998626709,1491224,"Transient global amnesia is a sudden, temporary episode of memory loss that can't be attributed to a more common neurological condition, such as epilepsy or stroke. During an episode of transient global amnesia, your recall of recent events simply vanishes, so you can't remember where you are or how you got there."
35,676454,what is a caret?,22,8.73599910736084,6281502,"caret â(plural carets). 1  A mark: â¨. â© 2  used by writers and proof readers to indicate that something is to be inserted in the place marked by the caret. ( 3 graphical user interface) An indicator, often a blinking line or bar, indicating where the next insertion or other edit will take place.aret â(plural carets). 1  A mark: â¨. â© 2  used by writers and proof readers to indicate that something is to be inserted in the place marked by the caret. ( 3 graphical user interface) An indicator, often a blinking line or bar, indicating where the next insertion or other edit will take place."
36,676454,what is a caret?,13,9.17140007019043,8577045,"How to pronounce caret noun in American English (English pronunciations of âcaretâ from the Cambridge Advanced Learnerâs Dictionary & Thesaurus and from the Cambridge Academic Content Dictionary, both sources Â© Cambridge University Press) What is the definition of caret?"
37,676454,what is a caret?,25,8.699899673461914,1410858,Wiktionary (0.00 / 0 votes) Rate this definition: caret (Noun). A mark [^] used by writers and proof readers to indicate that something is to be inserted in the place marked by the caret. caret (Noun).
38,676454,what is a caret?,16,9.083600044250488,6281505,Full browser? â². 1  cares. 2  cares. 3  cares. 4  cares. 5  cares a toss. 6  cares a toss. 7  cares a toss. 8  cares for. 9  cares for. 10  cares for. 11  cares for. 12  CARES Watershed Information Clearinghouse. 13  caress. 14  caress. 15  caress. 16  Caress of Steel. 17  caressed. 18  caresser. 19  caresses. 20  caressing. 21  caressingly. 22  caressive. 23  caret. 24  caret. 25  caret. 26  caret. 27  caret. 28  Caret (computer). 29  Caret (computer).aret-a mark used by an author or editor to indicate where something is to be inserted into a text. mark-a written or printed symbol (as for punctuation); his answer was just a punctuation mark.
39,676454,what is a caret?,11,9.220399856567383,6338711,"Creates a new shape for the system caret and assigns ownership of the caret to the specified window. The caret shape can be a line, a block, or a bitmap.etCaretPos. Moves the caret to the specified coordinates. If the window that owns the caret was created with the CS_OWNDC class style, then the specified coordinates are subject to the mapping mode of the device context associated with that window."
40,992559,which vitamins help heal bruises,17,13.796500205993652,488564,"To help bruises fade quickly, avoid taking acetaminophen or painkillers that are not prescribed. An ice pack, which can help a bruise fade. Resting will help bruises heal on their own more quickly. Rubbing a banana on a bruise can help it fade.A person with a bruised toenail. Applying pure witch hazel, from the witch hazel plant, may help heal bruises. topical ointment containing arnica should be applied repeatedly to the affected area in order to help bruises heal quickly. The use of arnica or other homeopathic treatments for bruising is not necessarily endorsed by the medical community, so those who are interested in trying it should do some research first."
41,992559,which vitamins help heal bruises,14,13.823599815368652,3907990,"An ice pack, which can help a bruise fade. Resting will help bruises heal on their own more quickly. Rubbing a banana on a bruise can help it fade. A person with a bruised toenail. Applying pure witch hazel, from the witch hazel plant, may help heal bruises."
42,992559,which vitamins help heal bruises,16,13.800399780273438,3465680,"To help bruises fade quickly, avoid taking acetaminophen or painkillers that are not prescribed. An ice pack, which can help a bruise fade. Resting will help bruises heal on their own more quickly. Rubbing a banana on a bruise can help it fade. A person with a bruised toenail. Applying pure witch hazel, from the witch hazel plant, may help heal bruises."
43,992559,which vitamins help heal bruises,29,12.704500198364258,1658944,"Topical vitamin K has been found to speed the healing of bruises. Its effects are even greater when used in combination with topical arnica, which is a plant-based remedy used for over 200 years. Arnica traditionally has been used to speed injury and trauma healing, reduce bruising, and relieve pain."
44,992559,which vitamins help heal bruises,20,13.596799850463867,5056072,"Bruises are caused when blood vessels are damaged or broken as a result of skin injury. Blood leaks from these injured blood vessels into surrounding tissues resulting in a bruise. It is the bodyâs response to the injury.2 Nutritional deficiencies: Deficiency of certain vitamins and minerals can cause bruises due to their role in blood clotting and wound healing. 1  Vitamin K: It helps blood to clot and is an essential component of bone structure. 2  Deficiency of this vitamin affects normal blood clotting, thus causing bruising."
45,844658,what is the role of lipids in a cell,28,10.339699745178223,6159679,"Answers. Best Answer: The cell membrane is primarily composed of a mix of proteins and lipids. Depending on the membraneâs location and role in the body, lipids can make up anywhere from 20 to 80 percent of the membrane, with the remainder being proteins.epending on the membraneâs location and role in the body, lipids can make up anywhere from 20 to 80 percent of the membrane, with the remainder being proteins."
46,844658,what is the role of lipids in a cell,25,10.512900352478027,2043703,"The membrane that surrounds a cell is made up of proteins and lipids. Depending on the membraneâs location and role in the body, lipids can make up anywhere from 20 to 80 percent of the membrane, with the remainder being proteins. Cholesterol, which is not found in plant cells, is a type of lipid that helps stiffen the membrane."
47,844658,what is the role of lipids in a cell,18,10.800600051879883,7129659,"Lipids Examples. Lipids are the fatty or waxy molecules that make up the basic structure of many cells in both plants and animals. They go by other terms depending on where they are found, including triacylglycerol, triglyceride, and glycerolipid, just to name a few. Lipids serve important functions in the cell. First, they form a support structure for the cellular and nuclear membranes. They also perform a role in the signaling and transport processes of the cell, especially those involving fat-soluble nutrients like vitamins A, E, and K. Finally, lipids are an important way for cells to store energy. While many people use the terms lipids and fats synonymously, fats are actually just a subgroup of lipids, as there are other kinds. Examples of Lipids:"
48,844658,what is the role of lipids in a cell,17,10.807999610900879,5480522,"The Lipid Bilayer, page 2. The lipid bilayer is a universal component of all cell membranes. Its role is critical because its structural components provide the barrier that marks the boundaries of a cell. The structure is called a lipid bilayer because it is composed of two layers of fat cells organized in two sheets."
49,844658,what is the role of lipids in a cell,15,10.839599609375,1762072,Lipid Bilayer Structure. The lipid bilayer is a universal component of all cell membranes. Its role is critical because its structural components provide the barrier that marks the boundaries of a cell. The structure is called a lipid bilayer because it is composed of two layers of fat cells organized in two sheets.
